,index,description_spec,description_piping,weight_spec,weight_piping,bolt_length_spec,bolt_length_piping,sch_piping,rating_piping
486,"CS2SA1 GAS 4""  F8","AISI 304/Graphite, Spiral Wound Gasket, ASME B16.20, RF as per ASME B16.5, Thk=1/8in, Inner AISI 304/Outer CS","SPIRAL WOUND GASKET, SS, AISI 304/GRAPHITE, ASME B16.20, THK 1/8"", CLASS 150, RF",0.0,0.235,-,-,-,150
490,"CS2SA1 BE 4""  -","Pipe, ASTM A53 Gr.B, Seamless, ASME B36.10, BE, Coating: Single Fusion Bonded Epoxy.","PIPE, SMLS, CS, ASTM A106 GR B, ASME B36.10, BE, SCH 40",0.0,16.08,-,-,40,-
494,"CS2SA1 BOLT 3/4"" x115mm (6"", # 150) -","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B18.2.1/B18.2.2",0.0,0.401,63.5,115.0,-,-
495,"CS2SA1 BOLT 3/4"" x0mm (6"", # 150) BTY","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B18.2.1/B18.2.2",0.0,0.0,63.5,0.0,-,-
496,"CS2SA1 BOLT 3/4"" x125mm (6"", # 150) F8","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B18.2.1/B18.2.2",0.0,0.42,63.5,125.0,-,-
506,"CS2SA1 90L 6""  -","ASTM A234 Gr.WPB, 90 Degree elbow Long Radius (R=1.5D), Seamless, ASME B16.9, BW Ends","ELBOW 90 DEG LR, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 40",0.0,10.2,-,-,40,-
507,"CS2SA1 WNK 6""  -","Flange, ASTM A105, Weldneck Flange, ASME B16.5, RF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, RF, SCH 40",0.0,10.91,-,-,40,150
508,"CS2SA1 WNK 6""  BTY","Flange, ASTM A105, Weldneck Flange, ASME B16.5, RF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, RF, SCH 40",0.0,10.91,-,-,40,150
509,"CS2SA1 WNK 6""  F8","Flange, ASTM A105, Weldneck Flange, ASME B16.5, RF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, RF, SCH 40",0.0,10.91,-,-,40,150
510,"CS2SA1 GAT 6""  -","Gate valve, CL150, RF,API 600,  BB, OS&Y, ASTM-A105, trim 8,stem OS & Y/RSNRO, HO","GATE VALVE FL, API 600, API 598, A216 GR WCB, CL 150, RF, B16.5, BB, SPW SS304/GRAPH, PKG GRAPH, TRIM #8, RENEWABLE SEATS, FLEXIBLE WEDGE, STEM OS&Y/RSNRO, HO",0.0,88.0,-,-,-,-
511,"CS2SA1 GAT 6""  BTY","Gate valve, CL150, RF,API 600,  BB, OS&Y, ASTM-A105, trim 8,stem OS & Y/RSNRO, HO","GATE VALVE FL, API 600, API 598, A216 GR WCB, CL 150, RF, B16.5, BB, SPW SS304/GRAPH, PKG GRAPH, TRIM #8, RENEWABLE SEATS, FLEXIBLE WEDGE, STEM OS&Y/RSNRO, HO",0.0,88.0,-,-,-,-
512,"CS2SA1 GAT 6""  F8","Gate valve, CL150, RF,API 600,  BB, OS&Y, ASTM-A105, trim 8,stem OS & Y/RSNRO, HO","GATE VALVE FL, API 600, API 598, A216 GR WCB, CL 150, RF, B16.5, BB, SPW SS304/GRAPH, PKG GRAPH, TRIM #8, RENEWABLE SEATS, FLEXIBLE WEDGE, STEM OS&Y/RSNRO, HO",0.0,88.0,-,-,-,-
513,"CS2SA1 RTE 6"" x3"" -","ASTM A234 Gr.WPB, Reducing tee, Seamless, ASME B16.9, BW Ends","REDUCING TEE, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 40x40",0.0,16.0,-,-,40x40,-
514,"CS2SA1 GAS 6""  -","AISI 304/Graphite, Spiral Wound Gasket, ASME B16.20, RF as per ASME B16.5, Thk=1/8in, Inner AISI 304/Outer CS","SPIRAL WOUND GASKET, SS, AISI 304/GRAPHITE, ASME B16.20, THK 1/8"", CLASS 150, RF",0.0,0.302,-,-,-,150
515,"CS2SA1 GAS 6""  BTY","AISI 304/Graphite, Spiral Wound Gasket, ASME B16.20, RF as per ASME B16.5, Thk=1/8in, Inner AISI 304/Outer CS","SPIRAL WOUND GASKET, SS, AISI 304/GRAPHITE, ASME B16.20, THK 1/8"", CLASS 150, RF",0.0,0.302,-,-,-,150
516,"CS2SA1 GAS 6""  F8","AISI 304/Graphite, Spiral Wound Gasket, ASME B16.20, RF as per ASME B16.5, Thk=1/8in, Inner AISI 304/Outer CS","SPIRAL WOUND GASKET, SS, AISI 304/GRAPHITE, ASME B16.20, THK 1/8"", CLASS 150, RF",0.0,0.302,-,-,-,150
520,"CS2SA1 BE 6""  -","Pipe, ASTM A53 Gr.B, Seamless, ASME B36.10, BE, Coating: Single Fusion Bonded Epoxy.","PIPE, SMLS, CS, ASTM A106 GR B, ASME B36.10, BE, SCH 40",0.0,28.26,-,-,40,-
521,"CS2SA1 RTE 8"" x6"" -","ASTM A234 Gr.WPB, Reducing tee, Seamless, ASME B16.9, BW Ends","REDUCING TEE, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 20x40",0.0,28.0,-,-,20x40,-
541,"CS2SA1 BOLT 3/4"" x120mm (8"", # 150) -","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B18.2.1/B18.2.2",0.0,0.41,69.85,120.0,-,-
542,"CS2SA1 BOLT 3/4"" x0mm (8"", # 150) BTY","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B18.2.1/B18.2.2",0.0,0.0,69.85,0.0,-,-
543,"CS2SA1 BOLT 3/4"" x135mm (8"", # 150) F8","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B18.2.1/B18.2.2",0.0,0.438,69.85,135.0,-,-
572,"CS2SA1 45L 8""  -","ASTM A234 Gr.WPB, 45 Degree elbow Long Radius (R=1.5D), Seamless, ASME B16.9, BW Ends","ELBOW 45 DEG LR, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 20",0.0,9.0,-,-,20,-
573,"CS2SA1 90L 8""  -","ASTM A234 Gr.WPB, 90 Degree elbow Long Radius (R=1.5D), Seamless, ASME B16.9, BW Ends","ELBOW 90 DEG LR, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 20",0.0,16.57,-,-,20,-
574,"CS2SA1 CHS 8""  -","Check valve, CL150, RF, API 594, BC, swing, ASTM-A216-WCB, trim 8","SWING CHECK VALVE FL, API 594, API 598, A216 GR WCB, CL 150, INST HORIZ/VERT, RF, B16.5, BOLTED COVER, SPW SS304/GRAPH, RENEWABLE SEATS, TRIM #8",0.0,133.0,-,-,-,-
575,"CS2SA1 CHS 8""  BTY","Check valve, CL150, RF, API 594, BC, swing, ASTM-A216-WCB, trim 8","SWING CHECK VALVE FL, API 594, API 598, A216 GR WCB, CL 150, INST HORIZ/VERT, RF, B16.5, BOLTED COVER, SPW SS304/GRAPH, RENEWABLE SEATS, TRIM #8",0.0,133.0,-,-,-,-
576,"CS2SA1 CHS 8""  F8","Check valve, CL150, RF, API 594, BC, swing, ASTM-A216-WCB, trim 8","SWING CHECK VALVE FL, API 594, API 598, A216 GR WCB, CL 150, INST HORIZ/VERT, RF, B16.5, BOLTED COVER, SPW SS304/GRAPH, RENEWABLE SEATS, TRIM #8",0.0,133.0,-,-,-,-
577,"CS2SA1 WNK 8""  -","Flange, ASTM A105, Weldneck Flange, ASME B16.5, RF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, RF, SCH 20",0.0,17.3,-,-,20,150
578,"CS2SA1 WNK 8""  BTY","Flange, ASTM A105, Weldneck Flange, ASME B16.5, RF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, RF, SCH 20",0.0,17.3,-,-,20,150
579,"CS2SA1 WNK 8""  F8","Flange, ASTM A105, Weldneck Flange, ASME B16.5, RF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, RF, SCH 20",0.0,17.3,-,-,20,150
580,"CS2SA1 GAT 8""  -","Gate valve, CL150, RF,API 600,  BB, OS&Y, ASTM-A105, trim 8,stem OS & Y/RSNRO, HO","GATE VALVE FL, API 600, API 598, A216 GR WCB, CL 150, RF, B16.5, BB, SPW SS304/GRAPH, PKG GRAPH, TRIM #8, RENEWABLE SEATS, FLEXIBLE WEDGE, STEM OS&Y/RSNRO, HO",0.0,144.0,-,-,-,-
581,"CS2SA1 GAT 8""  BTY","Gate valve, CL150, RF,API 600,  BB, OS&Y, ASTM-A105, trim 8,stem OS & Y/RSNRO, HO","GATE VALVE FL, API 600, API 598, A216 GR WCB, CL 150, RF, B16.5, BB, SPW SS304/GRAPH, PKG GRAPH, TRIM #8, RENEWABLE SEATS, FLEXIBLE WEDGE, STEM OS&Y/RSNRO, HO",0.0,144.0,-,-,-,-
582,"CS2SA1 GAT 8""  F8","Gate valve, CL150, RF,API 600,  BB, OS&Y, ASTM-A105, trim 8,stem OS & Y/RSNRO, HO","GATE VALVE FL, API 600, API 598, A216 GR WCB, CL 150, RF, B16.5, BB, SPW SS304/GRAPH, PKG GRAPH, TRIM #8, RENEWABLE SEATS, FLEXIBLE WEDGE, STEM OS&Y/RSNRO, HO",0.0,144.0,-,-,-,-
583,"CS2SA1 SOL 8"" x3/4"" -","ASTM A105, Sockolet, MSS SP-97, SW Ends","SOCKOLET, CS, ASTM A105, MSS SP-97, SW, CLASS 3000",0.0,0.15,-,-,-,3000
584,"CS2SA1 F8 8""  -","ASTM A516 Gr.70, Spectacle Blank Fig.8, ASME B16.48, Between RF Flanges, as per ASME B16.5","FIGURE-8 BLANK, CS, ASTM A516 GR 70, ASME B16.48, CLASS 150, RF",0.0,8.32,-,-,-,150
585,"CS2SA1 F8 8""  BTY","ASTM A516 Gr.70, Spectacle Blank Fig.8, ASME B16.48, Between RF Flanges, as per ASME B16.5","FIGURE-8 BLANK, CS, ASTM A516 GR 70, ASME B16.48, CLASS 150, RF",0.0,8.32,-,-,-,150
586,"CS2SA1 F8 8""  F8","ASTM A516 Gr.70, Spectacle Blank Fig.8, ASME B16.48, Between RF Flanges, as per ASME B16.5","FIGURE-8 BLANK, CS, ASTM A516 GR 70, ASME B16.48, CLASS 150, RF",0.0,8.32,-,-,-,150
587,"CS2SA1 WOL 8"" x2"" -","ASTM A105, Weldolet, MSS SP-97, BW Ends","WELDOLET, CS, ASTM A105, MSS SP-97, BW, SCH 40",0.0,0.79,-,-,40,-
588,"CS2SA1 GAS 8""  -","AISI 304/Graphite, Spiral Wound Gasket, ASME B16.20, RF as per ASME B16.5, Thk=1/8in, Inner AISI 304/Outer CS","SPIRAL WOUND GASKET, SS, AISI 304/GRAPHITE, ASME B16.20, THK 1/8"", CLASS 150, RF",0.0,0.434,-,-,-,150
589,"CS2SA1 GAS 8""  BTY","AISI 304/Graphite, Spiral Wound Gasket, ASME B16.20, RF as per ASME B16.5, Thk=1/8in, Inner AISI 304/Outer CS","SPIRAL WOUND GASKET, SS, AISI 304/GRAPHITE, ASME B16.20, THK 1/8"", CLASS 150, RF",0.0,0.434,-,-,-,150
590,"CS2SA1 GAS 8""  F8","AISI 304/Graphite, Spiral Wound Gasket, ASME B16.20, RF as per ASME B16.5, Thk=1/8in, Inner AISI 304/Outer CS","SPIRAL WOUND GASKET, SS, AISI 304/GRAPHITE, ASME B16.20, THK 1/8"", CLASS 150, RF",0.0,0.434,-,-,-,150
600,"CS2SA1 BE 8""  -","Pipe, ASTM A53 Gr.B, Seamless, ASME B36.10, BE, Coating: Single Fusion Bonded Epoxy.","PIPE, SMLS, CS, ASTM A106 GR B, ASME B36.10, BE, SCH 20",0.0,33.32,-,-,20,-
636,"CS2SA1 F8 6""  -","ASTM A516 Gr.70, Spectacle Blank Fig.8, ASME B16.48, Between RF Flanges, as per ASME B16.5","FIGURE-8 BLANK, CS, ASTM A516 GR 70, ASME B16.48, CLASS 150, RF",0.0,5.39,-,-,-,150
637,"CS2SA1 F8 6""  BTY","ASTM A516 Gr.70, Spectacle Blank Fig.8, ASME B16.48, Between RF Flanges, as per ASME B16.5","FIGURE-8 BLANK, CS, ASTM A516 GR 70, ASME B16.48, CLASS 150, RF",0.0,5.39,-,-,-,150
638,"CS2SA1 F8 6""  F8","ASTM A516 Gr.70, Spectacle Blank Fig.8, ASME B16.48, Between RF Flanges, as per ASME B16.5","FIGURE-8 BLANK, CS, ASTM A516 GR 70, ASME B16.48, CLASS 150, RF",0.0,5.39,-,-,-,150
648,"CS2SA1 CRE 8"" x4"" -","ASTM A234 Gr.WPB, Concentric reducer, Seamless, ASME B16.9, BW Ends","CONCENTRIC REDUCER, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 20x40",0.0,6.5,-,-,20x40,-
657,"CS2SA1 TEE 8""  -","ASTM A234 Gr.WPB, Equal tee, Seamless, ASME B16.9, BW Ends","STRAIGHT TEE, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 20",0.0,29.0,-,-,20,-
681,"CS2SA1 BOLT 1"" x145mm (14"", # 150) -","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B18.2.1/B18.2.2",0.0,0.873,76.2,145.0,-,-
682,"CS2SA1 BOLT 1"" x0mm (14"", # 150) BTY","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B18.2.1/B18.2.2",0.0,0.0,76.2,0.0,-,-
683,"CS2SA1 BOLT 1"" x170mm (14"", # 150) F8","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B18.2.1/B18.2.2",0.0,0.957,76.2,170.0,-,-
687,"CS2SA1 BOLT 1"" x150mm (16"", # 150) -","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B18.2.1/B18.2.2",0.0,0.89,82.55,150.0,-,-
688,"CS2SA1 BOLT 1"" x0mm (16"", # 150) BTY","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B18.2.1/B18.2.2",0.0,0.0,82.55,0.0,-,-
689,"CS2SA1 BOLT 1"" x180mm (16"", # 150) F8","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B18.2.1/B18.2.2",0.0,0.991,82.55,180.0,-,-
693,"CS1SC2 45L 8""  -","ASTM A234 Gr.WPB, 45 Degree elbow Long Radius (R=1.5D), Seamless, ASME B16.9, BW Ends","ELBOW 45 DEG LR, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 20",0.0,9.0,-,-,20,-
696,"CS1SC2 BE 8""  -","Pipe, ASTM A53 Gr.B, Seamless, ASME B36.10, BE, Coating: Single Fusion Bonded Epoxy.","PIPE, SMLS, CS, ASTM A53 GR B, ASME B36.10, BE, SCH 20",0.0,33.32,-,-,20,-
697,"CS1SC2 WNK 12""  -","Flange, ASTM A105, Weldneck Flange, ASME B16.5, FF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, FF, SCH 20",0.0,37.42,-,-,20,150
698,"CS2SA1 90L 14""  -","ASTM A234 Gr.WPB, 90 Degree elbow Long Radius (R=1.5D), Seamless, ASME B16.9, BW Ends","ELBOW 90 DEG LR, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 30",0.0,68.0,-,-,30,-
699,"CS2SA1 CHS 14""  -","Check valve, CL150, RF, API 594, BC, swing, ASTM-A216-WCB, trim 8","SWING CHECK VALVE FL, API 594, API 598, A216 GR WCB, CL 150, INST HORIZ/VERT, RF, B16.5, BOLTED COVER, SPW SS304/GRAPH, RENEWABLE SEATS, TRIM #8",0.0,451.0,-,-,-,-
700,"CS2SA1 CHS 14""  BTY","Check valve, CL150, RF, API 594, BC, swing, ASTM-A216-WCB, trim 8","SWING CHECK VALVE FL, API 594, API 598, A216 GR WCB, CL 150, INST HORIZ/VERT, RF, B16.5, BOLTED COVER, SPW SS304/GRAPH, RENEWABLE SEATS, TRIM #8",0.0,451.0,-,-,-,-
701,"CS2SA1 CHS 14""  F8","Check valve, CL150, RF, API 594, BC, swing, ASTM-A216-WCB, trim 8","SWING CHECK VALVE FL, API 594, API 598, A216 GR WCB, CL 150, INST HORIZ/VERT, RF, B16.5, BOLTED COVER, SPW SS304/GRAPH, RENEWABLE SEATS, TRIM #8",0.0,451.0,-,-,-,-
702,"CS2SA1 WNK 14""  -","Flange, ASTM A105, Weldneck Flange, ASME B16.5, RF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, RF, SCH 30",0.0,50.49,-,-,30,150
703,"CS2SA1 WNK 14""  BTY","Flange, ASTM A105, Weldneck Flange, ASME B16.5, RF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, RF, SCH 30",0.0,50.49,-,-,30,150
704,"CS2SA1 WNK 14""  F8","Flange, ASTM A105, Weldneck Flange, ASME B16.5, RF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, RF, SCH 30",0.0,50.49,-,-,30,150
705,"CS2SA1 GAT 14""  -","Gate Valve Flanged Ends, API 600, Seat Leakage as per API 598, ASTM A216 Gr.WCB, Class 150, RF, Ends as per ASME B16.5, GO","GATE VALVE FL, API 600, API 598, A216 GR WCB, CL 150, RF, B16.5, BB, SPW SS304/GRAPH, PKG GRAPH, TRIM #8, RENEWABLE SEATS, FLEXIBLE WEDGE, STEM OS&Y/RSNRO, GO",0.0,406.0,-,-,-,-
706,"CS2SA1 GAT 14""  BTY","Gate Valve Flanged Ends, API 600, Seat Leakage as per API 598, ASTM A216 Gr.WCB, Class 150, RF, Ends as per ASME B16.5, GO","GATE VALVE FL, API 600, API 598, A216 GR WCB, CL 150, RF, B16.5, BB, SPW SS304/GRAPH, PKG GRAPH, TRIM #8, RENEWABLE SEATS, FLEXIBLE WEDGE, STEM OS&Y/RSNRO, GO",0.0,406.0,-,-,-,-
707,"CS2SA1 GAT 14""  F8","Gate Valve Flanged Ends, API 600, Seat Leakage as per API 598, ASTM A216 Gr.WCB, Class 150, RF, Ends as per ASME B16.5, GO","GATE VALVE FL, API 600, API 598, A216 GR WCB, CL 150, RF, B16.5, BB, SPW SS304/GRAPH, PKG GRAPH, TRIM #8, RENEWABLE SEATS, FLEXIBLE WEDGE, STEM OS&Y/RSNRO, GO",0.0,406.0,-,-,-,-
708,"CS2SA1 RTE 14"" x8"" -","ASTM A234 Gr.WPB, Reducing tee, Seamless, ASME B16.9, BW Ends","REDUCING TEE, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 30x20",0.0,26.8,-,-,30x20,-
709,"CS2SA1 TEE 14""  -","ASTM A234 Gr.WPB, Equal tee, Seamless, ASME B16.9, BW Ends","STRAIGHT TEE, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 30",0.0,93.0,-,-,30,-
710,"CS2SA1 GAS 14""  -","AISI 304/Graphite, Spiral Wound Gasket, ASME B16.20, RF as per ASME B16.5, Thk=1/8in, Inner AISI 304/Outer CS","SPIRAL WOUND GASKET, SS, AISI 304/GRAPHITE, ASME B16.20, THK 1/8"", CLASS 150, RF",0.0,1.102,-,-,-,150
711,"CS2SA1 GAS 14""  BTY","AISI 304/Graphite, Spiral Wound Gasket, ASME B16.20, RF as per ASME B16.5, Thk=1/8in, Inner AISI 304/Outer CS","SPIRAL WOUND GASKET, SS, AISI 304/GRAPHITE, ASME B16.20, THK 1/8"", CLASS 150, RF",0.0,1.102,-,-,-,150
712,"CS2SA1 GAS 14""  F8","AISI 304/Graphite, Spiral Wound Gasket, ASME B16.20, RF as per ASME B16.5, Thk=1/8in, Inner AISI 304/Outer CS","SPIRAL WOUND GASKET, SS, AISI 304/GRAPHITE, ASME B16.20, THK 1/8"", CLASS 150, RF",0.0,1.102,-,-,-,150
719,"CS2SA1 BE 14""  -","Pipe, ASTM A53 Gr.B, Seamless, ASME B36.10, BE, Coating: Single Fusion Bonded Epoxy.","PIPE, SMLS, CS, ASTM A106 GR B, ASME B36.10, BE, SCH 30",0.0,81.33,-,-,30,-
720,"CS2SA1 WNK 16""  -","Flange, ASTM A105, Weldneck Flange, ASME B16.5, RF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, RF, SCH 40",0.0,65.43,-,-,40,150
721,"CS2SA1 WNK 16""  BTY","Flange, ASTM A105, Weldneck Flange, ASME B16.5, RF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, RF, SCH 40",0.0,65.43,-,-,40,150
722,"CS2SA1 WNK 16""  F8","Flange, ASTM A105, Weldneck Flange, ASME B16.5, RF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, RF, SCH 40",0.0,65.43,-,-,40,150
723,"CS2SA1 GAT 16""  -","Gate Valve Flanged Ends, API 600, Seat Leakage as per API 598, ASTM A216 Gr.WCB, Class 150, RF, Ends as per ASME B16.5, GO","GATE VALVE FL, API 600, API 598, A216 GR WCB, CL 150, RF, B16.5, BB, SPW SS304/GRAPH, PKG GRAPH, TRIM #8, RENEWABLE SEATS, FLEXIBLE WEDGE, STEM OS&Y/RSNRO, GO",0.0,524.0,-,-,-,-
724,"CS2SA1 GAT 16""  BTY","Gate Valve Flanged Ends, API 600, Seat Leakage as per API 598, ASTM A216 Gr.WCB, Class 150, RF, Ends as per ASME B16.5, GO","GATE VALVE FL, API 600, API 598, A216 GR WCB, CL 150, RF, B16.5, BB, SPW SS304/GRAPH, PKG GRAPH, TRIM #8, RENEWABLE SEATS, FLEXIBLE WEDGE, STEM OS&Y/RSNRO, GO",0.0,524.0,-,-,-,-
725,"CS2SA1 GAT 16""  F8","Gate Valve Flanged Ends, API 600, Seat Leakage as per API 598, ASTM A216 Gr.WCB, Class 150, RF, Ends as per ASME B16.5, GO","GATE VALVE FL, API 600, API 598, A216 GR WCB, CL 150, RF, B16.5, BB, SPW SS304/GRAPH, PKG GRAPH, TRIM #8, RENEWABLE SEATS, FLEXIBLE WEDGE, STEM OS&Y/RSNRO, GO",0.0,524.0,-,-,-,-
726,"CS2SA1 GAS 16""  -","AISI 304/Graphite, Spiral Wound Gasket, ASME B16.20, RF as per ASME B16.5, Thk=1/8in, Inner AISI 304/Outer CS","SPIRAL WOUND GASKET, SS, AISI 304/GRAPHITE, ASME B16.20, THK 1/8"", CLASS 150, RF",0.0,1.432,-,-,-,150
727,"CS2SA1 GAS 16""  BTY","AISI 304/Graphite, Spiral Wound Gasket, ASME B16.20, RF as per ASME B16.5, Thk=1/8in, Inner AISI 304/Outer CS","SPIRAL WOUND GASKET, SS, AISI 304/GRAPHITE, ASME B16.20, THK 1/8"", CLASS 150, RF",0.0,1.432,-,-,-,150
728,"CS2SA1 GAS 16""  F8","AISI 304/Graphite, Spiral Wound Gasket, ASME B16.20, RF as per ASME B16.5, Thk=1/8in, Inner AISI 304/Outer CS","SPIRAL WOUND GASKET, SS, AISI 304/GRAPHITE, ASME B16.20, THK 1/8"", CLASS 150, RF",0.0,1.432,-,-,-,150
732,"CS2SA1 BE 16""  -","Pipe, ASTM A53 Gr.B, Seamless, ASME B36.10, BE, Coating: Single Fusion Bonded Epoxy.","PIPE, SMLS, CS, ASTM A106 GR B, ASME B36.10, BE, SCH 40",0.0,123.31,-,-,40,-
791,"CS1SC2 BOLT 7/8"" x135mm (12"", # 150) -","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B1.1/B18.2.2",0.0,0.617,76.2,135.0,-,-
792,"CS1SC2 BOLT 7/8"" x0mm (12"", # 150) BTY","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B1.1/B18.2.2",0.0,0.0,76.2,0.0,-,-
793,"CS1SC2 BOLT 7/8"" x150mm (12"", # 150) F8","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B1.1/B18.2.2",0.0,0.656,76.2,150.0,-,-
808,"CS1SC2 GAS 12""  -","Aramid Fiber Reinforced NBR, Nonmetallic Flat Gasket, ASME B16.21, FF as per ASME B16.5, Thk=1/8in","NONMETALLIC FLAT GASKET, ARAMID FIBER REINFORCED NBR, ASME B16.21, THK 1/8"", CLASS 150, FF",0.0,0.19,-,-,-,150
838,"CS2SA1 GAT 12""  -",GATE VALVE,"GATE VALVE FL, API 600, API 598, A216 GR WCB, CL 150, RF, B16.5, BB, SPW SS304/GRAPH, PKG GRAPH, TRIM #8, RENEWABLE SEATS, FLEXIBLE WEDGE, STEM OS&Y/RSNRO, HO",0.0,298.0,-,-,-,150
839,"CS2SA1 GAT 12""  BTY",GATE VALVE,"GATE VALVE FL, API 600, API 598, A216 GR WCB, CL 150, RF, B16.5, BB, SPW SS304/GRAPH, PKG GRAPH, TRIM #8, RENEWABLE SEATS, FLEXIBLE WEDGE, STEM OS&Y/RSNRO, HO",0.0,298.0,-,-,-,150
